Epoch,TrainLoss
1,0.16237204493238375
2,0.06989726137656432
3,0.051588572131899685
4,0.04054916091263294
5,0.03158601831931334
6,0.025879279567072026
7,0.021485919920870893
8,0.01828745949583558
9,0.01584339141845703
10,0.014194949422604762
11,0.012655073132079381
12,0.011509055844866313
13,0.010813282408679906
14,0.009827602941256303
15,0.009524784032971812
16,0.009062885647066511
17,0.008863288980837051
18,0.008587504074407311
19,0.008351139097402874
20,0.007865648018196225
21,0.007583314302162482
22,0.0073051394966359325
23,0.007025673483999876
24,0.006863802152041059
25,0.00665863212914421
26,0.006658483475733262
27,0.0065014504899199195
28,0.00656043508878121
29,0.006387833989440248
30,0.006401457376061724
31,0.006189726257266907
32,0.006127205874341039
33,0.006091072976302642
34,0.0061838619160250975
35,0.006003259466244624
36,0.006043730769306421
37,0.006085636291223077
38,0.006014432256611494
39,0.00590632651717617
40,0.005979585479228542
41,0.00587463160403646
42,0.005915299272881105
43,0.005889835910728345
44,0.005833476334093855
45,0.005910380940454511
46,0.005851040271898875
47,0.005760776774527935
48,0.005773895044023028
49,0.005737715364935307
50,0.005691646150528238
51,0.005769806681200862
52,0.00569377255697663
53,0.005645164825881903
54,0.005627695202397613
55,0.005618969050164406
56,0.005560628245942867
57,0.005538568366318941
58,0.005598302697762847
59,0.005616803886368871
60,0.005517958645493939
61,0.005548148290612376
62,0.005553919804067566
63,0.0054736393324744245
64,0.0055476401825077255
65,0.005502716566507633
66,0.005491521907970309
67,0.0054290768009825395
68,0.005430006225091906
69,0.005413347013437977
70,0.005422087699676363
71,0.005432352907239244
72,0.005387186484697919
73,0.005323781882627652
74,0.005324274982110812
75,0.005331134065412558
76,0.005303457415161224
77,0.005263038319893754
78,0.005252558155916631
79,0.005218828222356164
80,0.005220220415279842
81,0.0052204787766990755
82,0.0051429953354482465
83,0.0051843610216075415
84,0.00516782826385819
85,0.005160317702505451
86,0.0051564989754786855
87,0.0051109599074921925
88,0.005040540718115293
89,0.00505678507929238
90,0.005061238350418325
91,0.004950982187158213
92,0.0050368796532543805
93,0.004951423437048037
94,0.004988556880002411
95,0.0049598814579300005
96,0.004915353555518847
97,0.004872749532716205
98,0.004818000481463969
99,0.004862627462269022
100,0.004885851450336094
